City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2020-08-24 00:10:56,-37.62,-73.65,50.94,90,100,18.03
1,Busselton,AU,2020-08-24 00:10:56,-33.65,115.33,46.0,86,0,5.01
2,Bethel,US,2020-08-24 00:10:56,41.37,-73.41,80.6,57,1,6.93
3,Hermanus,ZA,2020-08-24 00:10:56,-34.42,19.23,55.0,95,100,5.82
4,Coihaique,CL,2020-08-24 00:10:56,-45.58,-72.07,35.6,93,90,5.82
5,Mar Del Plata,AR,2020-08-24 00:06:39,-38.0,-57.56,51.01,93,17,13.87
6,Narsaq,GL,2020-08-24 00:10:57,60.92,-46.05,48.2,76,20,2.24
7,Yellowknife,CA,2020-08-24 00:10:57,62.46,-114.35,63.0,48,20,2.24
8,Provideniya,RU,2020-08-24 00:10:57,64.38,-173.3,53.6,76,90,6.71
9,Mataura,NZ,2020-08-24 00:10:57,-46.19,168.86,55.99,79,12,5.99
10,Lerwick,GB,2020-08-24 00:10:57,60.15,-1.15,50.0,87,65,16.11
11,Tomatlan,MX,2020-08-24 00:08:00,19.93,-105.25,82.24,83,76,5.55
12,Lagoa,PT,2020-08-24 00:10:57,39.05,-27.98,72.99,90,0,14.34
13,Albany,US,2020-08-24 00:06:35,42.6,-73.97,71.01,91,23,3.36
14,Carbonia,IT,2020-08-24 00:10:57,39.17,8.52,73.99,83,5,5.82
15,Castro,BR,2020-08-24 00:10:57,-24.79,-50.01,47.32,95,15,10.0
16,Cape Town,ZA,2020-08-24 00:08:46,-33.93,18.42,59.0,87,20,9.17
17,Katsuura,JP,2020-08-24 00:10:58,35.13,140.3,82.99,73,99,4.0
18,Adrar,MR,2020-08-24 00:10:58,20.5,-10.07,97.16,22,7,12.82
19,Mahebourg,MU,2020-08-24 00:10:58,-20.41,57.7,71.6,73,40,18.34
20,Kieta,PG,2020-08-24 00:10:58,-6.22,155.63,82.18,70,100,6.64
21,Nikolskoye,RU,2020-08-24 00:10:58,59.7,30.79,61.0,87,98,4.47
22,Chuy,UY,2020-08-24 00:10:58,-33.7,-53.46,53.62,85,0,11.25
23,Port Alfred,ZA,2020-08-24 00:10:58,-33.59,26.89,57.49,81,68,10.58
24,Quatre Cocos,MU,2020-08-24 00:10:58,-20.21,57.76,71.6,73,40,18.34
25,Puerto Ayora,EC,2020-08-24 00:10:58,-0.74,-90.35,66.99,86,72,3.0
26,Gurupi,BR,2020-08-24 00:10:58,-11.73,-49.07,80.91,37,20,4.81
27,Punta Arenas,CL,2020-08-24 00:10:58,-53.15,-70.92,33.8,80,75,23.04
28,Shingu,JP,2020-08-24 00:10:58,33.73,135.98,82.4,78,75,2.24
29,Tuktoyaktuk,CA,2020-08-24 00:10:58,69.45,-133.04,69.8,56,75,11.41
30,Hobart,AU,2020-08-24 00:06:09,-42.88,147.33,48.99,57,20,10.29
31,Ancud,CL,2020-08-24 00:08:57,-41.87,-73.82,46.4,93,90,6.93
32,Rikitea,PF,2020-08-24 00:10:59,-23.12,-134.97,70.75,84,79,20.29
33,Itarema,BR,2020-08-24 00:10:59,-2.92,-39.92,77.79,76,59,17.25
34,Kapaa,US,2020-08-24 00:07:46,22.08,-159.32,87.8,62,20,14.99
35,Airai,TL,2020-08-24 00:10:59,-8.93,125.41,67.8,39,38,6.08
36,Iqaluit,CA,2020-08-24 00:10:59,63.75,-68.51,44.6,81,40,5.82
37,Atuona,PF,2020-08-24 00:10:59,-9.8,-139.03,78.26,78,2,15.46
38,Antofagasta,CL,2020-08-24 00:10:59,-23.65,-70.4,57.2,76,75,8.05
39,Kaitangata,NZ,2020-08-24 00:10:59,-46.28,169.85,53.01,91,96,8.01
40,Fortuna,US,2020-08-24 00:10:59,40.6,-124.16,62.01,87,20,13.87
41,Jamestown,US,2020-08-24 00:09:06,42.1,-79.24,78.01,69,1,4.7
42,Gashua,NG,2020-08-24 00:10:59,12.87,11.05,78.42,73,80,12.26
43,Namatanai,PG,2020-08-24 00:10:59,-3.67,152.43,80.55,81,89,7.49
44,Visby,SE,2020-08-24 00:10:59,57.64,18.3,64.0,77,12,17.22
45,Ushuaia,AR,2020-08-24 00:07:22,-54.8,-68.3,32.0,93,75,14.99
46,Labuhan,ID,2020-08-24 00:11:00,-6.88,112.21,77.67,80,38,6.49
47,Salinas,US,2020-08-24 00:11:00,36.68,-121.66,69.8,68,20,14.99
48,Ribeira Grande,PT,2020-08-24 00:11:00,38.52,-28.7,73.35,89,3,10.36
49,Nakskov,DK,2020-08-24 00:11:00,54.84,11.13,63.0,88,57,1.99
50,Bengkulu,ID,2020-08-24 00:11:00,-3.8,102.27,75.88,85,99,4.27
51,Kigorobya,UG,2020-08-24 00:11:00,1.62,31.31,66.04,90,52,2.89
52,Dikson,RU,2020-08-24 00:11:00,73.51,80.55,45.19,83,0,10.49
53,Hilo,US,2020-08-24 00:11:00,19.73,-155.09,82.0,74,90,6.76
54,Kodiak,US,2020-08-24 00:10:33,57.79,-152.41,59.32,76,89,5.59
55,Vila Franca Do Campo,PT,2020-08-24 00:10:11,37.72,-25.43,69.8,83,20,3.36
56,Vestmanna,FO,2020-08-24 00:11:00,62.16,-7.17,44.6,93,49,1.12
57,Cardston,CA,2020-08-24 00:11:00,49.2,-113.3,82.99,17,20,8.46
58,Chokurdakh,RU,2020-08-24 00:11:01,70.63,147.92,36.66,81,100,10.56
59,Mattoon,US,2020-08-24 00:11:01,39.48,-88.37,84.2,62,1,8.05
60,Saint-Pierre,RE,2020-08-24 00:11:01,-21.34,55.48,64.4,63,15,4.7
61,Mitsamiouli,KM,2020-08-24 00:11:01,-11.38,43.28,74.97,71,41,2.59
62,Port Elizabeth,ZA,2020-08-24 00:11:01,-33.92,25.57,55.4,87,99,8.05
63,Bluff,NZ,2020-08-24 00:10:18,-46.6,168.33,55.99,79,27,5.99
64,Bowen,AU,2020-08-24 00:11:01,-20.02,148.23,75.99,63,32,3.36
65,Ola,RU,2020-08-24 00:11:01,59.58,151.28,51.96,46,1,8.16
66,Luau,AO,2020-08-24 00:11:01,-10.71,22.22,61.99,37,12,3.15
67,Rock Sound,BS,2020-08-24 00:11:01,24.9,-76.2,84.27,78,12,30.87
68,Avarua,CK,2020-08-24 00:08:33,-21.21,-159.78,78.8,69,6,5.82
69,Auki,SB,2020-08-24 00:11:01,-8.77,160.7,85.77,63,65,2.75
70,Guerrero Negro,MX,2020-08-24 00:11:02,27.98,-114.06,80.98,54,35,19.98
71,Beira,MZ,2020-08-24 00:11:02,-19.84,34.84,60.8,93,5,6.93
72,Ak-Dovurak,RU,2020-08-24 00:11:02,51.18,90.6,51.48,73,61,0.98
73,Victoria,HK,2020-08-24 00:06:23,22.29,114.16,84.99,83,18,8.01
74,Macherla,IN,2020-08-24 00:11:02,16.48,79.43,79.03,82,85,7.67
75,Yerbogachen,RU,2020-08-24 00:10:43,61.28,108.01,51.69,56,26,8.39
76,Santa Isabel,BR,2020-08-24 00:11:02,-23.32,-46.22,57.2,82,75,4.7
77,Vaini,TO,2020-08-24 00:11:02,-21.2,-175.2,82.4,74,20,8.05
78,Temirtau,KZ,2020-08-24 00:11:02,50.05,72.95,44.6,93,59,2.24
79,Bredasdorp,ZA,2020-08-24 00:11:02,-34.53,20.04,55.4,93,100,2.24
80,Biak,ID,2020-08-24 00:11:03,-0.91,122.88,79.74,65,22,3.47
81,Kaseda,JP,2020-08-24 00:11:03,31.42,130.32,78.8,94,20,2.24
82,Qaanaaq,GL,2020-08-24 00:11:03,77.48,-69.36,36.5,88,100,2.93
83,Launceston,AU,2020-08-24 00:11:03,-41.45,147.17,45.0,65,5,3.36
84,Canoinhas,BR,2020-08-24 00:11:03,-26.18,-50.39,47.97,95,65,4.18
85,Deputatskiy,RU,2020-08-24 00:11:03,69.3,139.9,34.21,88,99,5.91
86,Kologriv,RU,2020-08-24 00:11:03,58.83,44.32,57.74,81,100,5.32
87,Asau,RO,2020-08-24 00:11:04,46.43,26.4,66.0,85,40,4.12
88,Road Town,VG,2020-08-24 00:09:41,18.42,-64.62,82.99,85,84,15.99
89,Tasiilaq,GL,2020-08-24 00:11:04,65.61,-37.64,37.4,100,0,1.12
90,Butaritari,KI,2020-08-24 00:11:04,3.07,172.79,83.25,68,68,8.08
91,Verkh-Chebula,RU,2020-08-24 00:11:04,56.03,87.62,53.31,92,76,6.4
92,Clyde River,CA,2020-08-24 00:11:04,70.47,-68.59,42.08,87,100,4.27
93,San Patricio,MX,2020-08-24 00:11:04,19.22,-104.7,87.8,74,75,11.41
94,Buala,SB,2020-08-24 00:11:04,-8.14,159.59,83.46,74,95,6.49
95,Tiksi,RU,2020-08-24 00:11:04,71.69,128.87,40.05,77,97,12.64
96,Atakpame,TG,2020-08-24 00:11:04,7.53,1.13,68.52,97,56,3.27
97,Torbay,CA,2020-08-24 00:09:28,47.67,-52.73,63.0,59,20,12.75
98,Narasannapeta,IN,2020-08-24 00:11:05,18.42,84.05,77.58,90,99,9.17
99,Saint-Philippe,RE,2020-08-24 00:11:05,-21.36,55.77,64.4,63,36,4.7
100,Sorong,ID,2020-08-24 00:11:05,-0.88,131.25,79.12,85,75,7.67
101,Vostok,RU,2020-08-24 00:11:05,46.49,135.88,69.85,62,99,1.99
102,Clarence Town,AU,2020-08-24 00:11:05,-32.58,151.78,57.0,50,20,13.87
103,Arraial Do Cabo,BR,2020-08-24 00:11:05,-22.97,-42.03,67.46,63,3,11.12
104,Urdoma,RU,2020-08-24 00:11:05,61.75,48.54,58.86,94,100,5.21
105,Carnarvon,AU,2020-08-24 00:08:38,-24.87,113.63,59.0,82,0,13.87
106,Namibe,AO,2020-08-24 00:11:05,-15.2,12.15,64.18,90,50,1.79
107,Finschhafen,PG,2020-08-24 00:11:05,-6.6,147.87,79.88,77,95,11.77
108,Saskylakh,RU,2020-08-24 00:11:05,71.92,114.08,48.06,65,0,10.04
109,Williamsport,US,2020-08-24 00:07:25,41.24,-77.0,84.2,45,20,4.7
110,Cedar City,US,2020-08-24 00:11:06,37.68,-113.06,78.8,34,20,14.99
111,Parabel,RU,2020-08-24 00:11:06,58.7,81.48,48.87,94,76,4.5
112,Indianola,US,2020-08-24 00:11:06,41.36,-93.56,93.2,38,20,8.05
113,Ciudad Bolivar,VE,2020-08-24 00:11:06,8.12,-63.55,79.48,82,74,5.26
114,Taman,RU,2020-08-24 00:11:06,45.21,36.72,64.4,45,0,11.18
115,Porbandar,IN,2020-08-24 00:11:06,21.64,69.61,81.46,84,100,20.51
116,Qandala,SO,2020-08-24 00:11:06,11.47,49.87,87.84,50,29,10.0
117,Mehamn,NO,2020-08-24 00:11:06,71.04,27.85,53.2,92,100,16.84
118,San Quintin,MX,2020-08-24 00:11:06,30.48,-115.95,78.84,60,0,11.88
119,Jardim,BR,2020-08-24 00:11:06,-21.48,-56.14,64.45,75,0,6.24
120,Cagsiay,PH,2020-08-24 00:11:06,14.22,121.75,82.9,78,100,8.21
121,Pevek,RU,2020-08-24 00:11:06,69.7,170.31,37.78,96,100,2.17
122,Severo-Kurilsk,RU,2020-08-24 00:11:07,50.68,156.12,55.29,78,44,3.53
123,Naze,JP,2020-08-24 00:11:07,28.37,129.48,87.8,79,75,20.8
124,Kerman,IR,2020-08-24 00:11:07,30.28,57.08,75.2,31,5,4.7
125,Kholmogory,RU,2020-08-24 00:11:07,64.22,41.66,60.8,93,90,6.71
126,Norman Wells,CA,2020-08-24 00:11:07,65.28,-126.83,71.6,43,20,17.22
127,Georgetown,MY,2020-08-24 00:11:07,5.41,100.34,78.8,94,20,2.24
128,Grindavik,IS,2020-08-24 00:11:07,63.84,-22.43,48.2,87,30,4.7
129,Nizhniy Kuranakh,RU,2020-08-24 00:11:07,58.84,125.49,53.87,54,0,3.6
130,Bachaquero,VE,2020-08-24 00:11:07,9.97,-71.15,82.4,74,28,1.72
131,New Norfolk,AU,2020-08-24 00:11:07,-42.78,147.06,48.99,81,9,4.54
132,Trairi,BR,2020-08-24 00:08:10,-3.28,-39.27,77.05,77,90,14.29
133,Pisco,PE,2020-08-24 00:11:07,-13.7,-76.22,62.6,82,90,9.17
134,Urucui,BR,2020-08-24 00:11:07,-7.23,-44.56,84.49,32,56,3.6
135,Tuatapere,NZ,2020-08-24 00:11:07,-46.13,167.68,55.99,79,49,5.99
136,Rovinj,HR,2020-08-24 00:11:08,45.08,13.64,73.0,77,97,11.41
137,Pietra Ligure,IT,2020-08-24 00:11:08,44.15,8.28,75.0,77,0,6.85
138,Khatanga,RU,2020-08-24 00:11:08,71.97,102.5,59.31,62,98,10.11
139,Aklavik,CA,2020-08-24 00:11:08,68.22,-135.01,71.6,49,75,10.29
140,Novikovo,RU,2020-08-24 00:11:08,51.15,37.89,59.63,67,53,2.55
141,Kenai,US,2020-08-24 00:11:08,60.55,-151.26,62.6,72,90,13.87
142,Powell River,CA,2020-08-24 00:11:08,49.85,-124.54,66.2,72,90,11.41
143,Bambous Virieux,MU,2020-08-24 00:11:08,-20.34,57.76,71.6,73,40,18.34
144,Mount Isa,AU,2020-08-24 00:11:08,-20.73,139.5,66.2,22,2,12.75
145,Solnechnyy,RU,2020-08-24 00:11:08,50.72,136.63,63.05,78,100,3.13
146,Anadyr,RU,2020-08-24 00:11:08,64.75,177.48,53.6,87,40,2.24
147,Henderson,US,2020-08-24 00:11:08,36.04,-114.98,102.2,21,1,6.93
148,Upernavik,GL,2020-08-24 00:11:09,72.79,-56.15,43.25,88,94,0.94
149,Mizan Teferi,ET,2020-08-24 00:11:09,6.98,35.58,63.27,85,100,1.41
150,Obertyn,UA,2020-08-24 00:11:09,48.7,25.17,68.0,76,66,4.0
151,Longyearbyen,SJ,2020-08-24 00:11:09,78.22,15.64,39.2,69,5,8.05
152,Ahipara,NZ,2020-08-24 00:11:09,-35.17,173.17,57.96,79,91,20.09
153,Ponta Do Sol,PT,2020-08-24 00:11:09,32.67,-17.1,75.2,64,20,19.46
154,Pilar,BR,2020-08-24 00:11:09,-9.6,-35.96,71.6,88,20,2.24
155,Hamilton,US,2020-08-24 00:06:16,39.18,-84.53,82.99,61,1,4.7
156,Loreto,MX,2020-08-24 00:11:09,22.27,-101.97,66.79,57,92,18.37
157,Waingapu,ID,2020-08-24 00:11:09,-9.66,120.26,79.77,67,25,5.7
158,Hithadhoo,MV,2020-08-24 00:11:09,-0.6,73.08,82.62,79,70,12.93
159,Gazli,UZ,2020-08-24 00:11:10,40.13,63.45,77.61,34,44,13.11
160,Thompson,CA,2020-08-24 00:08:30,55.74,-97.86,55.4,93,90,3.36
161,Grand Gaube,MU,2020-08-24 00:11:10,-20.01,57.66,71.01,75,22,5.01
162,Kaitong,CN,2020-08-24 00:11:10,44.81,123.15,67.35,95,100,10.87
163,Kavaratti,IN,2020-08-24 00:11:10,10.57,72.64,81.82,80,94,15.28
164,Galle,LK,2020-08-24 00:11:10,6.04,80.22,79.29,82,43,4.54
165,Mayo,US,2020-08-24 00:11:10,38.89,-76.51,84.2,70,1,3.36
166,Lompoc,US,2020-08-24 00:08:22,34.64,-120.46,78.01,69,1,12.75
167,Guozhen,CN,2020-08-24 00:11:10,34.37,107.36,71.62,70,66,3.53
168,Lorengau,PG,2020-08-24 00:11:10,-2.02,147.27,77.9,86,98,8.23
169,Beringovskiy,RU,2020-08-24 00:11:10,63.05,179.32,54.88,74,44,3.65
170,Savannah Bight,HN,2020-08-24 00:11:11,16.45,-85.85,84.47,80,83,11.95
171,Esso,RU,2020-08-24 00:11:11,55.93,158.7,51.35,49,13,4.88
172,Goryachegorsk,RU,2020-08-24 00:11:11,55.41,88.92,51.6,95,98,4.41
173,Nemuro,JP,2020-08-24 00:11:11,43.32,145.57,64.4,100,75,2.24
174,College,US,2020-08-24 00:11:11,64.86,-147.8,68.0,56,75,3.65
175,Nouna,BF,2020-08-24 00:11:11,12.73,-3.87,76.28,84,53,5.5
176,Sambava,MG,2020-08-24 00:11:11,-14.27,50.17,68.56,81,81,10.83
177,Geraldton,AU,2020-08-24 00:11:11,-28.77,114.6,46.4,93,0,9.17
178,Mayumba,GA,2020-08-24 00:11:11,-3.43,10.66,73.58,86,100,5.77
179,Atasu,KZ,2020-08-24 00:11:11,48.68,71.64,63.7,50,100,2.1
180,Las Guaranas,DO,2020-08-24 00:11:11,19.19,-70.21,84.2,88,90,17.22
181,Haverhill,US,2020-08-24 00:06:51,42.78,-71.08,69.01,92,95,5.01
182,Saldanha,ZA,2020-08-24 00:11:11,-33.01,17.94,51.8,87,65,4.7
183,Isangel,VU,2020-08-24 00:11:12,-19.55,169.27,80.6,94,75,4.81
184,Viedma,AR,2020-08-24 00:06:57,-40.81,-63.0,59.0,44,65,1.99
185,Qianan,CN,2020-08-24 00:11:12,44.99,124.06,66.58,96,100,9.86
186,Polunochnoye,RU,2020-08-24 00:11:12,60.87,60.42,43.59,94,0,2.55
